#cores	nodes	 SYPD (CAM-SE)	SYPD (CAM-HOMME)
180  	5	 2.49 		2.00
360  	10  	 4.93 		3.69
540  	15     	 7.44 		5.30
1080 	30	 14.94 		10.23
1368 	38	 18.57 		12.14
2700 	75	 34.30 		19.68
5400 	150	 62.76 		28.31

#180  	5	 2.24 		2.00
#360  	10  	 4.18 		3.69
#540  	15     	 6.82 		5.30
#1080 	30	 13.48 		10.23
#1368 	38	 16.66 		12.14
#2700 	75	 30.92 		19.68
#5400 	150	 53.36 		28.31


#   s:  2.49 SYPD (5 nodes  - 180 cores)                                                                                                             
#   m:  4.93 SYPD (10 nodes - 360 cores)                                                                                                             
#   l:  7.44 SYPD (15 nodes - 540 cores)                                                                                                             
#  xl: 14.94 SYPD (30 nodes - 1080 cores)                                                                                                            
# xxl: 18.57 SYPD (38 nodes - 1368 cores)                                                                                                            
#  3x: 34.30 SYPD (75 nodes - 2700 cores)                                                                                                            
#  4x: 62.76 SYPD (150 nodes- 5400 cores)
